Open_time,시가,고가,저가,종가,거래량,거래대금,거래횟수,매수_기본_자산_거래량,매수_상대_자산_거래대금
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.92,114799747.44,105595,3961.94,52809747.44
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.09,279717107.43,177728,11346.33,158080088.68
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.67,236116868.34,162787,8994.95,133587333.25
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.65,312781583.8,170310,12680.81,186116793.01
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.49,369321956.49,192969,13346.62,211829900.68
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.46,309216920.99,158242,11007.16,183417769.06
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.13,206194706.37,120269,6779.32,112151163.13
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.61,396569997.16,208642,13756.84,206049582.14
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.0,210630187.46,156656,6841.23,100698572.9
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.0,244011366.76,161476,8529.55,119570139.81
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.72,446587594.69,239416,16422.02,218762237.38
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.16,222516076.27,134452,8117.31,110040020.18
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.51,173086488.55,123639,5574.18,78958098.95
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.89,226525305.13,152364,8288.38,110381556.67
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.09,200614554.54,145362,7431.06,101748315.64
2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.17,722150828.15,418243,30353.4,346777069.93
2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.8,744154180.13,517293,35412.8,365047291.43
2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.43,541289614.06,393112,23814.38,266091805.67
2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.38,382773499.23,273271,16871.42,189259676.89
2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.86,358561107.78,251647,14389.2,179183657.9
2018-01-21,12799.8,12799.8,10965.0,11530.0,41379.77,485289230.82,360207,20574.76,241154449.98
2018-01-22,11530.0,11926.35,9900.24,10760.05,43752.61,475716514.21,363264,21300.58,231677479.13
2018-01-23,10760.05,11399.0,9905.0,10799.18,37473.92,399419413.23,355286,18747.79,199899519.27
2018-01-24,10799.14,11570.48,10500.0,11349.99,27158.59,299470607.43,293429,13087.39,144335221.63
2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.95,236081364.97,221040,10201.39,115584688.25
2018-01-26,11184.7,11643.0,10311.15,11089.0,33056.87,360482470.17,314720,15330.79,167328952.39
2018-01-27,11089.0,11650.0,10842.69,11491.0,18860.77,212663199.53,207478,9208.94,103935891.8
2018-01-28,11499.98,12244.0,11408.0,11879.95,16887.34,200211582.94,206247,7342.79,87011013.83
2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.38,162110154.88,169199,6016.5,68819972.52
2018-01-30,11250.11,11308.42,9900.0,10237.51,25554.37,268978329.51,259212,11388.1,119864289.07
2018-01-31,10230.0,10425.85,9700.0,10285.1,18015.96,181644207.11,201422,8782.58,88609272.64
